ville,quartier,type_bien,surface_m2,nb_pieces,nb_chambres,meuble,equipements,prix_loyer_mensuel
Saly,Saly Portudal,Maison,39.9,1,0,False,gardiennage|groupe_electrogene,280000
Saint-Louis,Sor,Maison,131.5,3,1,False,,345000
Dakar,Mermoz,Villa,71.2,3,2,False,parking|piscine,1020000
Saint-Louis,Hydrobase,Villa,60.3,3,1,False,,305000
Dakar,Plateau,Studio,138.1,5,4,False,gardiennage|piscine,990000
Saly,Saly Portudal,Appartement,188.3,6,5,False,climatisation|gardiennage,910000
Thiès,Randoulène,Maison,60.2,2,1,False,groupe_electrogene,200000
Mbour,Zone résidentielle,Studio,98.1,3,1,False,piscine,395000
Dakar,Parcelles Assainies,Appartement,81.1,3,2,True,parking|piscine,530000
Thiès,Randoulène,Appartement,174.0,8,6,False,climatisation,520000
Thiès,Médina Fall,Studio,86.1,3,2,False,,195000
Saly,Saly centre,Maison,50.0,1,0,True,climatisation|gardiennage|groupe_electrogene,345000
Saint-Louis,Sor,Maison,88.2,3,2,False,gardiennage,270000
Thiès,Médina Fall,Villa,156.0,4,3,True,,800000
Dakar,Parcelles Assainies,Maison,78.5,2,0,False,,380000
Dakar,Yoff,Appartement,63.8,1,0,True,groupe_electrogene,490000
Thiès,Médina Fall,Appartement,84.0,3,1,True,climatisation|gardiennage,320000
Thiès,Randoulène,Appartement,50.9,3,1,False,parking|piscine|groupe_electrogene,270000
Dakar,Yoff,Appartement,81.0,3,1,False,,455000
Mbour,Zone résidentielle,Studio,66.4,3,2,False,parking|gardiennage,275000
Saly,Niakh Niakhal,Studio,250.1,8,6,False,piscine|groupe_electrogene,850000
Dakar,Parcelles Assainies,Appartement,26.4,1,0,True,parking|piscine,265000
Thiès,Médina Fall,Appartement,55.2,2,1,False,piscine,220000
Dakar,Parcelles Assainies,Studio,63.7,2,0,False,gardiennage,320000
Saint-Louis,Île,Appartement,51.1,2,0,True,parking|piscine|groupe_electrogene,320000
Dakar,Parcelles Assainies,Maison,110.3,4,2,False,climatisation,565000
Saint-Louis,Hydrobase,Appartement,59.6,2,0,False,climatisation|parking|groupe_electrogene,230000
Mbour,Grand Mbour,Maison,37.3,2,0,False,piscine,230000
Mbour,Mbour centre,Appartement,93.6,5,3,False,parking,325000
Dakar,Yoff,Maison,76.1,3,2,False,gardiennage,495000
Saly,Saly centre,Appartement,61.2,3,1,True,parking,385000
Dakar,Yoff,Maison,171.9,7,6,False,groupe_electrogene,1150000
Dakar,Parcelles Assainies,Appartement,112.2,3,2,False,gardiennage|piscine,595000
Thiès,Randoulène,Appartement,105.9,3,1,True,climatisation|parking,400000
Dakar,Almadies,Maison,113.5,3,2,True,gardiennage,965000
Mbour,Zone résidentielle,Appartement,110.6,3,1,False,groupe_electrogene,330000
Mbour,Mbour centre,Appartement,78.2,3,2,False,,255000
Dakar,Parcelles Assainies,Appartement,59.9,3,2,False,,340000
Saly,Saly centre,Appartement,94.6,4,3,False,climatisation|gardiennage|piscine,470000
Dakar,Mermoz,Appartement,77.4,3,1,False,,460000
Thiès,Randoulène,Villa,26.2,1,0,False,gardiennage,190000
Dakar,Parcelles Assainies,Appartement,48.6,1,0,False,,215000
Saly,Saly Portudal,Studio,72.2,3,2,False,groupe_electrogene,380000
Dakar,Yoff,Villa,139.5,5,4,True,climatisation|piscine,1695000
Dakar,Yoff,Appartement,94.9,4,3,True,,655000
Thiès,Randoulène,Maison,54.0,4,3,False,,260000
Saly,Niakh Niakhal,Studio,46.1,3,1,True,piscine|groupe_electrogene,320000
Saly,Saly centre,Maison,154.5,6,5,False,,705000
Mbour,Mbour centre,Appartement,80.1,2,0,False,parking|gardiennage|piscine,375000
Saly,Saly Portudal,Appartement,18.0,1,0,False,climatisation,140000
Saly,Saly Portudal,Appartement,82.9,3,1,False,,420000
Thiès,Grand Standing,Maison,124.6,4,2,False,climatisation,440000
Dakar,Parcelles Assainies,Villa,45.3,2,1,True,climatisation,425000
Mbour,Grand Mbour,Villa,91.1,4,3,False,groupe_electrogene,520000
Saint-Louis,Île,Appartement,95.7,3,1,True,parking,340000
Dakar,Parcelles Assainies,Maison,46.9,3,2,False,climatisation|parking,290000
Dakar,Mermoz,Appartement,161.6,6,4,True,gardiennage|piscine|groupe_electrogene,1400000
Mbour,Mbour centre,Villa,96.5,2,0,True,,550000
Dakar,Plateau,Appartement,72.0,3,1,True,piscine,800000
Saly,Niakh Niakhal,Villa,80.4,3,1,False,,540000
Dakar,Mermoz,Studio,41.7,2,0,True,climatisation,390000
Dakar,Yoff,Appartement,40.7,1,0,False,,280000
Mbour,Mbour centre,Appartement,68.4,3,2,False,parking,265000
Dakar,Plateau,Studio,70.8,3,1,False,piscine,595000
Dakar,Yoff,Appartement,77.6,2,1,False,climatisation|gardiennage|groupe_electrogene,435000
Saint-Louis,Île,Maison,168.7,5,4,True,climatisation,810000
Saly,Saly centre,Villa,121.2,5,3,False,gardiennage|piscine,960000
Dakar,Parcelles Assainies,Maison,29.0,2,0,False,,160000
Dakar,Parcelles Assainies,Appartement,152.8,6,4,False,parking|piscine|groupe_electrogene,755000
Mbour,Mbour centre,Appartement,68.1,4,3,False,piscine,290000
Saly,Niakh Niakhal,Appartement,127.1,5,4,False,,540000
Thiès,Randoulène,Villa,71.1,3,1,False,,290000
Dakar,Yoff,Appartement,93.3,3,2,True,climatisation,605000
Dakar,Plateau,Appartement,43.6,3,1,False,gardiennage,420000
Dakar,Parcelles Assainies,Appartement,104.1,4,3,True,groupe_electrogene,535000
Dakar,Almadies,Villa,134.5,4,2,False,groupe_electrogene,1255000
Saint-Louis,Île,Appartement,32.6,1,0,False,piscine,240000
Dakar,Almadies,Studio,135.5,5,4,True,gardiennage,1140000
Thiès,Médina Fall,Maison,59.8,1,0,True,climatisation,200000
Saint-Louis,Île,Studio,195.6,8,6,False,parking,680000
Saint-Louis,Île,Villa,128.3,4,2,False,,615000
Dakar,Parcelles Assainies,Studio,117.3,4,2,False,parking,530000
Mbour,Mbour centre,Villa,80.7,2,1,False,parking|groupe_electrogene,410000
Mbour,Zone résidentielle,Appartement,273.1,10,8,False,piscine,1055000
Mbour,Grand Mbour,Studio,68.4,2,1,False,gardiennage|groupe_electrogene,235000
Dakar,Parcelles Assainies,Maison,49.2,2,0,True,piscine,400000
Dakar,Parcelles Assainies,Maison,61.0,4,3,False,piscine,395000
Saly,Niakh Niakhal,Villa,146.6,6,5,False,climatisation|parking|piscine,985000
Dakar,Yoff,Villa,92.4,4,3,False,climatisation,895000
Dakar,Yoff,Maison,85.4,3,1,False,groupe_electrogene,535000
Thiès,Randoulène,Maison,68.9,3,1,True,gardiennage,275000
Saint-Louis,Hydrobase,Appartement,83.1,4,3,True,climatisation|piscine,460000
Saly,Niakh Niakhal,Appartement,66.3,2,0,True,gardiennage|piscine,290000
Dakar,Parcelles Assainies,Appartement,122.8,4,2,True,,595000
Saly,Saly centre,Appartement,76.7,1,0,False,parking|gardiennage|groupe_electrogene,345000
Dakar,Almadies,Appartement,61.6,3,1,True,piscine,695000
Thiès,Randoulène,Appartement,140.5,7,6,False,,450000
Saint-Louis,Sor,Studio,50.1,2,1,False,climatisation,155000
Dakar,Yoff,Appartement,93.1,2,0,False,,520000
Dakar,Parcelles Assainies,Villa,26.1,1,0,False,piscine,315000
Thiès,Grand Standing,Maison,38.7,1,0,False,parking,195000
Saly,Saly Portudal,Appartement,72.3,2,1,False,piscine|groupe_electrogene,460000
Saint-Louis,Sor,Appartement,65.7,3,2,False,gardiennage,230000
Saly,Niakh Niakhal,Appartement,65.6,3,1,False,,285000
Mbour,Mbour centre,Villa,128.9,4,2,False,piscine,680000
Thiès,Randoulène,Appartement,132.7,4,2,False,,370000
Mbour,Grand Mbour,Maison,102.5,4,2,False,piscine|groupe_electrogene,375000
Dakar,Plateau,Villa,48.6,1,0,False,gardiennage,660000
Dakar,Mermoz,Villa,82.8,2,0,False,parking,825000
Mbour,Mbour centre,Appartement,209.4,7,6,False,gardiennage,585000
Mbour,Zone résidentielle,Appartement,259.6,10,9,False,,1060000
Dakar,Mermoz,Appartement,141.2,5,3,False,,920000
Thiès,Randoulène,Appartement,49.7,1,0,False,climatisation|parking,175000
Saint-Louis,Île,Appartement,83.2,4,2,False,climatisation|gardiennage|piscine,440000
Saly,Saly Portudal,Maison,99.0,1,0,False,climatisation|gardiennage|piscine|groupe_electrogene,550000
Saint-Louis,Île,Villa,91.5,3,1,False,,425000
Thiès,Médina Fall,Maison,148.6,5,4,False,,390000
Dakar,Almadies,Maison,126.1,5,4,False,,900000
Thiès,Médina Fall,Appartement,48.2,2,1,False,climatisation|parking|gardiennage|groupe_electrogene,220000
Saint-Louis,Hydrobase,Studio,62.4,3,2,False,parking,225000
Saly,Saly centre,Maison,140.9,4,2,False,parking,645000
Thiès,Randoulène,Studio,171.5,7,5,False,groupe_electrogene,440000
Dakar,Almadies,Villa,99.7,4,3,False,parking|piscine,1370000
Dakar,Almadies,Appartement,182.1,5,3,True,,1445000
Mbour,Zone résidentielle,Appartement,93.9,5,4,True,piscine,510000
Mbour,Zone résidentielle,Appartement,53.1,1,0,False,,190000
Dakar,Parcelles Assainies,Appartement,120.4,5,3,False,gardiennage|groupe_electrogene,580000
Dakar,Almadies,Villa,316.8,12,11,False,climatisation|parking,3390000
Saint-Louis,Île,Appartement,41.9,2,0,True,parking|gardiennage,230000
Dakar,Plateau,Studio,178.7,6,5,False,parking|piscine,1165000
Mbour,Zone résidentielle,Maison,117.0,5,4,False,parking|piscine,720000
Dakar,Yoff,Appartement,60.4,1,0,False,parking|gardiennage,430000
Dakar,Almadies,Appartement,26.5,1,0,False,piscine,360000
Saly,Saly Portudal,Maison,19.9,1,0,False,piscine,260000
Dakar,Parcelles Assainies,Maison,65.5,2,1,False,gardiennage,335000
Dakar,Plateau,Appartement,107.5,4,3,False,,715000
Dakar,Parcelles Assainies,Appartement,135.8,6,5,True,parking|gardiennage|groupe_electrogene,895000
Dakar,Almadies,Studio,151.5,5,3,False,parking,1010000
Dakar,Plateau,Appartement,102.7,4,2,False,parking,710000
Dakar,Yoff,Villa,94.7,3,2,False,climatisation|piscine,1060000
Dakar,Non renseigne,Appartement,73.6,2,1,False,piscine,420000
Dakar,Parcelles Assainies,Appartement,108.8,4,3,False,piscine,515000
Saint-Louis,Hydrobase,Maison,60.9,2,1,False,parking,250000
Saint-Louis,Sor,Maison,43.3,1,0,False,,120000
Dakar,Almadies,Maison,91.7,4,3,False,climatisation,750000
Dakar,Plateau,Appartement,130.6,5,4,False,groupe_electrogene,1030000
Thiès,Grand Standing,Villa,37.9,1,0,False,groupe_electrogene,295000
Saly,Niakh Niakhal,Maison,65.6,1,0,False,climatisation|parking|groupe_electrogene,300000
Mbour,Zone résidentielle,Appartement,89.9,4,3,False,parking|piscine,440000
Dakar,Parcelles Assainies,Appartement,88.9,3,2,False,parking|gardiennage|piscine|groupe_electrogene,535000
Dakar,Plateau,Appartement,115.4,4,2,True,gardiennage,1005000
Dakar,Plateau,Maison,206.4,8,7,False,groupe_electrogene,1325000
Dakar,Yoff,Appartement,20.1,1,0,False,parking|piscine,275000
Saint-Louis,Non renseigne,Maison,211.0,6,4,False,,760000
Thiès,Randoulène,Appartement,201.8,9,7,False,groupe_electrogene,550000
Dakar,Yoff,Villa,136.9,5,3,False,climatisation|parking,1250000
Dakar,Plateau,Appartement,98.7,3,2,False,,680000
Thiès,Randoulène,Villa,61.6,1,0,False,climatisation|groupe_electrogene,280000
Dakar,Parcelles Assainies,Appartement,136.1,4,3,False,piscine,645000
Mbour,Grand Mbour,Appartement,101.3,3,1,True,,320000
Dakar,Almadies,Studio,74.4,3,1,False,parking,540000
Saly,Saly centre,Maison,134.3,4,3,False,climatisation|parking,565000
Dakar,Yoff,Studio,146.0,6,4,True,gardiennage,1015000
Mbour,Grand Mbour,Appartement,18.0,1,0,False,climatisation|gardiennage|piscine|groupe_electrogene,180000
Saly,Saly centre,Maison,170.8,5,4,False,climatisation|gardiennage|groupe_electrogene,790000
Saly,Saly Portudal,Studio,57.8,2,0,True,piscine,440000
Mbour,Zone résidentielle,Maison,159.9,4,3,False,climatisation,595000
Mbour,Grand Mbour,Appartement,75.2,3,2,False,parking|gardiennage|piscine,320000
Saint-Louis,Île,Maison,98.9,3,2,False,,380000
Mbour,Mbour centre,Maison,108.9,5,3,False,groupe_electrogene,445000
Dakar,Parcelles Assainies,Villa,153.4,4,3,True,gardiennage|piscine,1415000
Thiès,Randoulène,Appartement,127.4,5,4,False,parking|gardiennage|groupe_electrogene,430000
Thiès,Médina Fall,Appartement,73.8,3,1,False,piscine,270000
Mbour,Grand Mbour,Studio,22.0,2,1,True,climatisation|parking|gardiennage,165000
Thiès,Randoulène,Maison,114.7,4,3,False,parking|piscine,400000
Dakar,Parcelles Assainies,Studio,96.7,4,2,True,climatisation|gardiennage|groupe_electrogene,550000
Saint-Louis,Sor,Appartement,41.6,1,0,False,gardiennage,120000
Dakar,Plateau,Appartement,102.7,4,2,False,parking|gardiennage,810000
Dakar,Almadies,Studio,89.3,3,2,False,piscine,785000
Thiès,Médina Fall,Appartement,170.0,5,3,False,climatisation,390000
Thiès,Randoulène,Appartement,218.3,7,6,False,gardiennage|piscine,665000
Dakar,Yoff,Maison,144.2,5,4,False,,975000
Dakar,Plateau,Studio,86.6,2,1,False,,485000
Dakar,Mermoz,Villa,93.6,4,3,False,climatisation|gardiennage,1105000
Dakar,Plateau,Appartement,56.7,1,0,False,climatisation|piscine,510000
Dakar,Yoff,Appartement,62.8,1,0,True,gardiennage,460000
Saint-Louis,Île,Villa,83.9,4,3,True,groupe_electrogene,660000
Dakar,Mermoz,Appartement,79.3,4,3,True,parking,715000
Saly,Saly centre,Appartement,40.2,1,0,True,climatisation,230000
Saly,Saly Portudal,Appartement,170.9,6,4,True,climatisation,985000
Thiès,Médina Fall,Maison,182.9,7,6,False,parking|gardiennage,500000
Dakar,Almadies,Villa,168.1,6,4,False,parking,1655000
Thiès,Randoulène,Studio,186.0,7,5,False,gardiennage|piscine,535000
Mbour,Grand Mbour,Maison,249.9,10,8,False,,875000
Saint-Louis,Hydrobase,Appartement,57.3,1,0,False,groupe_electrogene,210000
Mbour,Mbour centre,Appartement,244.5,9,8,False,parking,830000
Thiès,Randoulène,Appartement,73.5,3,2,False,climatisation|parking|piscine,290000
Saint-Louis,Île,Appartement,123.5,4,3,False,piscine|groupe_electrogene,480000
Dakar,Almadies,Appartement,34.3,1,0,False,climatisation,345000
Mbour,Mbour centre,Appartement,68.4,3,1,False,gardiennage|piscine,325000
Dakar,Mermoz,Appartement,146.3,5,4,False,,970000
Saint-Louis,Sor,Maison,126.6,4,2,False,,350000
Saly,Niakh Niakhal,Maison,72.7,3,1,False,,310000
Dakar,Mermoz,Appartement,93.6,3,2,False,gardiennage|piscine,690000
Saint-Louis,Sor,Maison,64.4,2,0,False,parking|gardiennage,195000
Dakar,Yoff,Studio,146.1,5,4,True,gardiennage,890000
Mbour,Mbour centre,Studio,176.6,7,5,True,parking|gardiennage,655000
Dakar,Mermoz,Studio,57.4,1,0,False,climatisation|piscine,495000
Saly,Niakh Niakhal,Appartement,88.6,4,2,True,parking|gardiennage,415000
Dakar,Plateau,Studio,39.2,1,0,False,parking|groupe_electrogene,330000
Saly,Niakh Niakhal,Appartement,101.1,5,4,True,piscine,540000
Mbour,Grand Mbour,Appartement,117.0,4,3,False,,360000
Saint-Louis,Île,Appartement,105.5,4,3,True,,410000
Mbour,Mbour centre,Appartement,112.3,6,5,False,parking,360000
Mbour,Zone résidentielle,Appartement,83.7,3,1,False,parking|gardiennage|piscine|groupe_electrogene,435000
Saly,Saly Portudal,Appartement,84.7,4,3,True,climatisation|gardiennage,655000
Dakar,Mermoz,Studio,82.6,3,2,True,piscine,690000
Saint-Louis,Hydrobase,Appartement,67.3,3,1,False,climatisation|piscine,290000
Dakar,Almadies,Appartement,71.9,3,2,False,climatisation|parking,635000
Saint-Louis,Île,Appartement,114.3,5,4,False,,440000
Dakar,Almadies,Appartement,171.0,6,4,False,parking,1115000
Saint-Louis,Hydrobase,Appartement,51.7,1,0,False,piscine,245000
Saint-Louis,Hydrobase,Appartement,84.6,3,1,True,parking|gardiennage|groupe_electrogene,335000
Thiès,Randoulène,Appartement,45.4,2,1,False,piscine|groupe_electrogene,230000
Thiès,Grand Standing,Studio,67.9,2,0,False,climatisation|groupe_electrogene,260000
Mbour,Mbour centre,Villa,74.3,3,2,True,gardiennage|groupe_electrogene,570000
Mbour,Zone résidentielle,Maison,97.5,5,4,False,,455000
Thiès,Randoulène,Maison,96.1,3,2,False,gardiennage,315000
Saint-Louis,Hydrobase,Studio,88.2,3,1,True,parking,285000
Saly,Saly centre,Villa,109.6,3,2,True,climatisation,910000
Dakar,Almadies,Maison,54.6,4,3,True,piscine|groupe_electrogene,880000
Dakar,Plateau,Villa,97.9,4,3,True,,1195000
Dakar,Plateau,Villa,128.4,5,4,True,climatisation|groupe_electrogene,1930000
Saint-Louis,Hydrobase,Studio,54.2,1,0,False,gardiennage|groupe_electrogene,195000
Thiès,Randoulène,Appartement,30.1,1,0,True,,130000
Mbour,Non renseigne,Appartement,145.5,6,5,False,,520000
Saint-Louis,Hydrobase,Appartement,46.2,1,0,False,,160000
Dakar,Plateau,Appartement,66.1,3,1,False,groupe_electrogene,525000
Saly,Saly Portudal,Maison,126.5,6,4,False,gardiennage,630000
Mbour,Mbour centre,Appartement,52.6,1,0,True,parking|gardiennage,220000
Dakar,Plateau,Maison,140.5,4,2,True,climatisation,1145000
Dakar,Plateau,Maison,60.8,1,0,True,,500000
Dakar,Yoff,Studio,56.7,3,2,False,,415000
Dakar,Mermoz,Appartement,45.5,2,0,False,climatisation|parking,430000
Dakar,Yoff,Appartement,61.1,2,1,False,,435000
Saly,Niakh Niakhal,Studio,118.1,4,2,False,climatisation|gardiennage|piscine|groupe_electrogene,440000
Thiès,Randoulène,Studio,66.1,2,1,False,,185000
Dakar,Plateau,Villa,145.8,6,5,False,,1555000
Mbour,Zone résidentielle,Studio,90.1,3,1,False,parking,305000
Thiès,Grand Standing,Villa,94.2,3,2,True,,560000
Saly,Saly centre,Appartement,55.7,2,1,False,,245000
